1019,3,12,0,0,3,15,1.5,100,2.8
1020,6,5,4,5,1,20,2,100,1.933333333
1021,5,0,2,5,7,12,1.2,100,5
1022,7,5,2,4,5,18,1.8,100,4.2
1023,3,0,1,0,4,4,0.4,100,2.666666667
1024,3,5,2,1,4,11,1.1,100,3.133333333
1025,4,4,11,4,6,23,2.3,100,5.133333333
1026,5,7,2,5,9,19,1.9,100,6.666666667
1027,6,0,0,0,9,6,0.6,100,5.8
1028,3,11,2,0,4,16,1.6,100,3.466666667
1029,4,12,5,0,2,21,2.1,100,2.6
1030,4,2,5,0,5,11,1.1,100,3.733333333
1031,5,0,12,0,8,17,1.7,100,5.933333333
1032,6,0,12,4,1,22,2.2,100,2.066666667
1033,7,11,12,5,9,35,3.5,100,7.733333333
1034,4,12,0,0,5,16,1.6,100,4.066666667
1035,2,2,0,0,1,4,0.4,0,0.866666667
1036,7,0,4,5,4,16,1.6,0,3.466666667
1037,6,5,2,4,5,17,1.7,0,4.133333333
1038,4,0,1,0,7,5,0.5,0,4.533333333
1039,8,5,12,3,3,28,2.8,0,3.666666667
1040,9,4,12,1,2,26,2.6,0,2.933333333
1041,5,7,12,0,7,24,2.4,0,5.8
1042,3,0,12,0,7,15,1.5,0,5.2
1043,4,11,12,4,3,31,3.1,0,3.866666667
1044,2,12,12,5,4,31,3.1,0,4.466666667
1045,2,2,0,0,10,4,0.4,0,6.266666667
1046,3,0,0,0,8,3,0.3,0,5
1047,4,0,2,5,7,11,1.1,0,4.933333333
1048,1,11,2,4,10,18,1.8,0,7.2
1049,5,5,1,0,6,11,1.1,0,4.333333333
1050,7,0,12,0,1,19,1.9,0,1.866666667
1051,7,5,12,0,9,24,2.4,0,7
1052,8,4,12,5,7,29,2.9,0,6.133333333
1053,5,7,0,4,4,16,1.6,0,3.466666667
1054,8,0,0,0,6,8,0.8,0,4.133333333
1055,4,11,2,1,1,18,1.8,0,1.8
1056,3,12,2,4,7,21,2.1,0,5.6
1057,3,2,1,5,6,11,1.1,0,4.333333333
1058,3,0,12,0,8,15,1.5,0,5.8
1059,4,0,12,0,4,16,1.6,0,3.466666667
1060,2,11,12,0,10,25,2.5,0,7.666666667
1061,7,0,0,0,0,7,0.7,0,0.466666667
1062,6,4,2,0,1,12,1.2,0,1.4
1063,4,12,8,4,4,28,2.8,0,4.266666667
1064,8,0,5,5,2,18,1.8,0,2.4
1065,9,0,5,0,1,14,1.4,0,1.533333333
1066,5,11,12,0,6,28,2.8,0,5.466666667
1067,3,12,12,5,5,32,3.2,0,5.133333333
1068,4,2,12,4,4,22,2.2,0,3.866666667
1069,2,0,0,0,1,2,0.2,0,0.733333333
1070,2,5,0,3,10,10,1,0,6.666666667
1071,3,0,2,1,1,6,0.6,0,1
1072,4,0,2,0,10,6,0.6,0,6.4
1073,1,5,1,4,8,11,1.1,0,5.533333333
1074,5,4,12,5,7,26,2.6,0,5.933333333
1075,7,7,12,0,1,26,2.6,0,2.333333333
1076,7,0,12,0,5,19,1.9,0,4.266666667
1077,8,11,0,0,6,19,1.9,0,4.866666667
1078,5,12,0,0,4,17,1.7,0,3.533333333
1079,8,2,2,0,6,12,1.2,0,4.4
1080,4,0,2,4,1,10,1,0,1.266666667
1081,2,0,12,5,5,19,1.9,0,4.266666667
1082,2,11,12,0,6,25,2.5,0,5.266666667
1083,3,0,12,0,2,15,1.5,0,2.2
1084,4,0,0,5,6,9,0.9,0,4.2
1085,1,4,0,4,5,9,0.9,0,3.6
1086,5,12,2,0,1,19,1.9,0,1.866666667
1087,7,0,2,3,2,12,1.2,0,2
1088,7,0,1,1,1,9,0.9,0,1.2
1089,8,11,12,0,1,31,3.1,0,2.666666667
1090,7,12,12,4,2,35,3.5,0,3.533333333
1091,7,2,12,5,1,26,2.6,0,2.333333333
1092,8,0,0,0,1,8,0.8,0,1.133333333
1093,5,5,0,0,2,10,1,0,1.866666667
1094,8,0,2,0,2,10,1,0,1.866666667
1095,4,9,12,4,9,29,2.9,0,7.333333333
1096,2,5,12,4,10,23,2.3,0,7.533333333
1097,2,4,0,4,2,10,1,0,1.866666667
1098,3,7,8,5,9,23,2.3,0,6.933333333
1099,4,0,2,0,2,6,0.6,0,1.6
1100,7,11,2,0,1,20,2,0,1.933333333
1101,7,12,1,5,1,25,2.5,0,2.266666667
1102,8,2,12,4,1,26,2.6,0,2.333333333
1103,5,0,12,0,1,17,1.7,0,1.733333333
1104,8,0,12,3,1,23,2.3,0,2.133333333
1105,4,11,0,1,1,16,1.6,0,1.666666667
1106,2,0,0,0,1,2,0.2,0,0.733333333
1107,2,12,2,4,1,20,2,0,1.933333333
1108,3,2,12,5,10,22,2.2,0,7.466666667
1109,4,0,12,0,10,16,1.6,0,7.066666667
1110,0,0,12,0,10,12,1.2,0,6.8
1111,5,11,2,3,10,21,2.1,0,7.4
1112,12,8,12,5,10,37,3.7,0,8.466666667
1113,0,0,8,0,1,8,0.8,0,1.133333333
1114,0,4,5,4,10,13,1.3,0,6.866666667
1115,0,12,5,5,2,22,2.2,0,2.666666667
1116,0,0,12,0,0,12,1.2,0,0.8
1117,0,0,12,4,0,16,1.6,0,1.066666667
1118,0,11,12,0,0,23,2.3,0,1.533333333
1119,0,12,0,3,4,15,1.5,0,3.4
1120,2,2,0,1,0,5,0.5,0,0.333333333
1121,2,0,2,0,0,4,0.4,0,0.266666667
1122,3,5,2,4,10,14,1.4,0,6.933333333
1123,4,0,1,5,0,10,1,0,0.666666667
1124,0,0,12,0,10,12,1.2,0,6.8
1125,7,0,0,0,0,7,0.7,0,0.466666667
1126,8,11,0,0,10,19,1.9,0,7.266666667
1127,5,12,2,0,0,19,1.9,0,1.266666667
1128,8,2,2,5,10,17,1.7,0,7.133333333
1129,4,0,1,5,9,10,1,0,6.066666667
1130,2,5,12,5,0,24,2.4,0,1.6
1131,2,3,4,2,3,11,1.1,0,2.533333333
1132,1,2,4,3,3,10,1,0,2.466666667
1133,2,2,2,5,3,11,1.1,0,2.533333333
1134,2,0,2,2,0,6,0.6,0,0.4
